player_id,player_name,team_id,team_name,competition_id,season_id,role,minutes,metric,latent_dimension,raw_metric_value,selected_normalization,normalized_metric_value,oriented_metric_score,percentile_rank,role_benchmark_band,direction
317852,Abderahmane El Houasli,11935,UTS Rabat,1229,318,GK,1286.4167,goals_faced_90,GK_D1,1.1193885,percentile_rank,100.0,0.0,0.0,Excellent,lower_is_better
477675,Mohamed Idar,2889,Olympique Dcheïra,1229,318,GK,2196.5332,goals_faced_90,GK_D1,1.0243415,percentile_rank,91.66666666666666,8.333333333333343,8.333333333333343,Good,lower_is_better
138841,Salaheddine Chihab,6995,Maghreb Fès,1229,318,GK,2015.4667,goals_faced_90,GK_D1,0.3572374,percentile_rank,25.0,75.0,75.0,Poor,lower_is_better
139555,Aymane Majid,25917,CODM Meknès,1229,318,GK,1386.4,goals_faced_90,GK_D1,0.64916325,percentile_rank,41.66666666666667,58.33333333333333,58.33333333333333,Average,lower_is_better
139572,Amine El Ouaad,2839,Ittihad Tanger,1229,318,GK,2078.9502,goals_faced_90,GK_D1,0.6926573,percentile_rank,50.0,50.0,50.0,Average,lower_is_better
139011,Ahmed Reda Tagnaouti,2838,FAR Rabat,1229,318,GK,1502.3833,goals_faced_90,GK_D1,0.2995241,percentile_rank,16.666666666666664,83.33333333333334,83.33333333333334,Poor,lower_is_better
36951,Babacar Niasse,2365,Difaâ El Jadida,1229,318,GK,2050.4001,goals_faced_90,GK_D1,0.74619585,percentile_rank,66.66666666666666,33.33333333333334,33.33333333333334,Average,lower_is_better
138972,Mahdi Benabid,6994,Wydad Casablanca,1229,318,GK,2228.7834,goals_faced_90,GK_D1,0.60571164,percentile_rank,33.33333333333333,66.66666666666667,66.66666666666667,Average,lower_is_better
362445,Badreddine Abyir,6992,Hassania Agadir,1229,318,GK,2208.4167,goals_faced_90,GK_D1,1.0188295,percentile_rank,83.33333333333334,16.666666666666657,16.666666666666657,Good,lower_is_better
523287,Ismail Sayad,36100,US Yacoub El Mansour,1229,318,GK,1163.6832,goals_faced_90,GK_D1,1.0054282,percentile_rank,75.0,25.0,25.0,Average,lower_is_better
522350,Mohamed Jemjami,36099,KAC Marrakech,1229,318,GK,1812.0667,goals_faced_90,GK_D1,0.69533867,percentile_rank,58.333333333333336,41.666666666666664,41.666666666666664,Average,lower_is_better
138950,Mehdi Harrar,2349,Raja Casablanca,1229,318,GK,2133.3833,goals_faced_90,GK_D1,0.25311908,percentile_rank,8.333333333333332,91.66666666666667,91.66666666666667,Very Poor,lower_is_better
317852,Abderahmane El Houasli,11935,UTS Rabat,1229,318,GK,1286.4167,obv_pass_90,GK_D1,0.11402217,percentile_rank,83.33333333333334,83.33333333333334,83.33333333333334,Good,higher_is_better
477675,Mohamed Idar,2889,Olympique Dcheïra,1229,318,GK,2196.5332,obv_pass_90,GK_D1,0.08090475,percentile_rank,66.66666666666666,66.66666666666666,66.66666666666666,Average,higher_is_better
138841,Salaheddine Chihab,6995,Maghreb Fès,1229,318,GK,2015.4667,obv_pass_90,GK_D1,0.0717732,percentile_rank,16.666666666666664,16.666666666666664,16.666666666666664,Poor,higher_is_better
139555,Aymane Majid,25917,CODM Meknès,1229,318,GK,1386.4,obv_pass_90,GK_D1,0.07929789,percentile_rank,50.0,50.0,50.0,Average,higher_is_better
139572,Amine El Ouaad,2839,Ittihad Tanger,1229,318,GK,2078.9502,obv_pass_90,GK_D1,0.07384438,percentile_rank,33.33333333333333,33.33333333333333,33.33333333333333,Average,higher_is_better
139011,Ahmed Reda Tagnaouti,2838,FAR Rabat,1229,318,GK,1502.3833,obv_pass_90,GK_D1,0.030172195,percentile_rank,8.333333333333332,8.333333333333332,8.333333333333332,Very Poor,higher_is_better
36951,Babacar Niasse,2365,Difaâ El Jadida,1229,318,GK,2050.4001,obv_pass_90,GK_D1,0.0801523,percentile_rank,58.333333333333336,58.333333333333336,58.333333333333336,Average,higher_is_better
138972,Mahdi Benabid,6994,Wydad Casablanca,1229,318,GK,2228.7834,obv_pass_90,GK_D1,0.09523622,percentile_rank,75.0,75.0,75.0,Average,higher_is_better
362445,Badreddine Abyir,6992,Hassania Agadir,1229,318,GK,2208.4167,obv_pass_90,GK_D1,0.11580103,percentile_rank,91.66666666666666,91.66666666666666,91.66666666666666,Good,higher_is_better
