role,player_id,sensitivity_type,removed_entity,score_variation,abs_score_variation
GK,138841,remove_dimension,GK_D1,-4.701159032175422,4.701159032175422
GK,138950,remove_dimension,GK_D1,-2.3350215145463764,2.3350215145463764
GK,138972,remove_dimension,GK_D1,-3.2917759869158445,3.2917759869158445
GK,139011,remove_dimension,GK_D1,1.1959510215758655,1.1959510215758655
GK,139555,remove_dimension,GK_D1,4.652677506324032,4.652677506324032
GK,139572,remove_dimension,GK_D1,10.775516598279708,10.775516598279708
GK,317852,remove_dimension,GK_D1,-10.25726487253641,10.25726487253641
GK,362445,remove_dimension,GK_D1,6.557559335537945,6.557559335537945
GK,36951,remove_dimension,GK_D1,7.590397711834839,7.590397711834839
GK,477675,remove_dimension,GK_D1,7.069927522692595,7.069927522692595
GK,522350,remove_dimension,GK_D1,-2.4304398703634575,2.4304398703634575
GK,523287,remove_dimension,GK_D1,1.4195673484001858,1.4195673484001858
GK,138841,remove_dimension,GK_D2,-1.6202718836520056,1.6202718836520056
GK,138950,remove_dimension,GK_D2,17.445950188286062,17.445950188286062
GK,138972,remove_dimension,GK_D2,-4.786753015985937,4.786753015985937
GK,139011,remove_dimension,GK_D2,-12.16564272488911,12.16564272488911
GK,139555,remove_dimension,GK_D2,13.066802600538544,13.066802600538544
GK,139572,remove_dimension,GK_D2,-2.1864902855932655,2.1864902855932655
GK,317852,remove_dimension,GK_D2,6.428164205312356,6.428164205312356
GK,362445,remove_dimension,GK_D2,-4.109581717810656,4.109581717810656
GK,36951,remove_dimension,GK_D2,-2.4736255859112646,2.4736255859112646
GK,477675,remove_dimension,GK_D2,-15.846827324930295,15.846827324930295
GK,522350,remove_dimension,GK_D2,-14.459465128482734,14.459465128482734
GK,523287,remove_dimension,GK_D2,10.52651360293055,10.52651360293055
GK,138841,remove_dimension,GK_D3,6.013940456180894,6.013940456180894
GK,138950,remove_dimension,GK_D3,-13.02418506566612,13.02418506566612
GK,138972,remove_dimension,GK_D3,7.415072445599932,7.415072445599932
GK,139011,remove_dimension,GK_D3,9.504541757682535,9.504541757682535
GK,139555,remove_dimension,GK_D3,-16.00855368768233,16.00855368768233
GK,139572,remove_dimension,GK_D3,-8.608231089627552,8.608231089627552
GK,317852,remove_dimension,GK_D3,4.380763874041868,4.380763874041868
GK,362445,remove_dimension,GK_D3,-2.8006607410448083,2.8006607410448083
GK,36951,remove_dimension,GK_D3,-5.244838367767343,5.244838367767343
GK,477675,remove_dimension,GK_D3,6.995831650959914,6.995831650959914
GK,522350,remove_dimension,GK_D3,15.059460681298361,15.059460681298361
GK,523287,remove_dimension,GK_D3,-10.621600596414723,10.621600596414723
GK,317852,remove_metric_proxy,goals_faced_90,2.3660328454717643,2.3660328454717643
GK,477675,remove_metric_proxy,goals_faced_90,1.971694037893144,1.971694037893144
GK,138841,remove_metric_proxy,goals_faced_90,-1.1830164227358857,1.1830164227358857
GK,139555,remove_metric_proxy,goals_faced_90,-0.3943388075786274,0.3943388075786274
GK,139572,remove_metric_proxy,goals_faced_90,0.0,0.0
GK,139011,remove_metric_proxy,goals_faced_90,-1.577355230314513,1.577355230314513
GK,36951,remove_metric_proxy,goals_faced_90,0.7886776151572548,0.7886776151572548
GK,138972,remove_metric_proxy,goals_faced_90,-0.7886776151572548,0.7886776151572548
GK,362445,remove_metric_proxy,goals_faced_90,1.5773552303145095,1.5773552303145095
GK,523287,remove_metric_proxy,goals_faced_90,1.1830164227358821,1.1830164227358821
GK,522350,remove_metric_proxy,goals_faced_90,0.3943388075786345,0.3943388075786345
GK,138950,remove_metric_proxy,goals_faced_90,-1.971694037893144,1.971694037893144
GK,317852,remove_metric_proxy,obv_pass_90,-1.5773552303145095,1.5773552303145095
GK,477675,remove_metric_proxy,obv_pass_90,-0.7886776151572548,0.7886776151572548
GK,138841,remove_metric_proxy,obv_pass_90,1.577355230314513,1.577355230314513
GK,139555,remove_metric_proxy,obv_pass_90,0.0,0.0
GK,139572,remove_metric_proxy,obv_pass_90,0.7886776151572548,0.7886776151572548
GK,139011,remove_metric_proxy,obv_pass_90,1.9716940378931405,1.9716940378931405
GK,36951,remove_metric_proxy,obv_pass_90,-0.3943388075786274,0.3943388075786274
GK,138972,remove_metric_proxy,obv_pass_90,-1.1830164227358821,1.1830164227358821
GK,362445,remove_metric_proxy,obv_pass_90,-1.971694037893144,1.971694037893144
GK,523287,remove_metric_proxy,obv_pass_90,1.1830164227358821,1.1830164227358821
GK,522350,remove_metric_proxy,obv_pass_90,-2.3660328454717643,2.3660328454717643
GK,138950,remove_metric_proxy,obv_pass_90,0.3943388075786274,0.3943388075786274
GK,317852,remove_metric_proxy,pass_length,-1.5293980912732366,1.5293980912732366
GK,477675,remove_metric_proxy,pass_length,-1.0542186369139301,1.0542186369139301
GK,138841,remove_metric_proxy,pass_length,0.7846396644379396,0.7846396644379396
GK,139555,remove_metric_proxy,pass_length,0.014834901539664713,0.014834901539664713
GK,139572,remove_metric_proxy,pass_length,-0.3986987855175954,0.3986987855175954
GK,139011,remove_metric_proxy,pass_length,2.366032845471768,2.366032845471768
GK,36951,remove_metric_proxy,pass_length,0.15048024939680715,0.15048024939680715
GK,138972,remove_metric_proxy,pass_length,0.6045228885718217,0.6045228885718217
GK,362445,remove_metric_proxy,pass_length,-1.2092542002623077,1.2092542002623077
GK,523287,remove_metric_proxy,pass_length,0.5247895269883216,0.5247895269883216
GK,522350,remove_metric_proxy,pass_length,-2.3660328454717643,2.3660328454717643
GK,138950,remove_metric_proxy,pass_length,2.312147274587744,2.312147274587744
GK,317852,remove_metric_proxy,p_pass_length,1.4447105709689794,1.4447105709689794
GK,477675,remove_metric_proxy,p_pass_length,-2.407850951614968,2.407850951614968
GK,138841,remove_metric_proxy,p_pass_length,0.9631403806459886,0.9631403806459886
GK,139555,remove_metric_proxy,p_pass_length,0.48157019032299075,0.48157019032299075
GK,139572,remove_metric_proxy,p_pass_length,-1.4447105709689794,1.4447105709689794
GK,139011,remove_metric_proxy,p_pass_length,0.0,0.0
GK,36951,remove_metric_proxy,p_pass_length,-0.9631403806459886,0.9631403806459886
GK,138972,remove_metric_proxy,p_pass_length,-0.48157019032299075,0.48157019032299075
GK,362445,remove_metric_proxy,p_pass_length,-1.9262807612919772,1.9262807612919772
GK,523287,remove_metric_proxy,p_pass_length,1.9262807612919772,1.9262807612919772
GK,522350,remove_metric_proxy,p_pass_length,-2.8894211419379587,2.8894211419379587
GK,138950,remove_metric_proxy,p_pass_length,2.407850951614968,2.407850951614968
GK,317852,remove_metric_proxy,average_x_defensive_action,1.1222730062951314,1.1222730062951314
GK,477675,remove_metric_proxy,average_x_defensive_action,0.0,0.0
GK,138841,remove_metric_proxy,average_x_defensive_action,1.4963640083935097,1.4963640083935097
GK,139555,remove_metric_proxy,average_x_defensive_action,-2.24454601259027,2.24454601259027
GK,139572,remove_metric_proxy,average_x_defensive_action,-1.870455010491895,1.870455010491895
GK,139011,remove_metric_proxy,average_x_defensive_action,1.8704550104918916,1.8704550104918916
