match_id,competition_id,season_id,match_date,source_path
4049877,,,2026-04-04,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4031428,,,2025-10-01,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4031436,,,2025-10-05,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4059484,,,2026-05-30,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4030236,,,2025-09-20,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4031426,,,2025-09-28,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4067280,,,2026-06-25,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4051536,,,2026-03-01,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4071071,,,2026-06-28,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4031423,,,2025-09-28,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4067277,,,2026-06-25,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
4051534,,,2026-03-01,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json
