source_path,dataset_guess,file_type,file_count,row_count_if_readable,size_mb,modified_at,competition_count_if_detectable,season_count_if_detectable,match_count_if_detectable,columns,status
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=282/competition_id=1485.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.648308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=282/competition_id=223.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.620307,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=282/competition_id=273.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.592308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=282/competition_id=303.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.596308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=282/competition_id=75.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.589308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=282/competition_id=88.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.627308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=101.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.591308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=102.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.632308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1267.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.586308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1331.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.643307,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
