statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients,experiment_008_status
135202,Walid Sabbar,MID,MID,1.0,103.8,Left Defensive Midfield,629.5667,900.0,False,available_population_recomputed_or_reused_from_role_resolution
225437,Stephane Aziz Ki,MID,MID,1.0,61.016666,Center Attacking Midfield,371.68335,900.0,False,available_population_recomputed_or_reused_from_role_resolution
139018,Zouheir El-Moutaraji,UNKNOWN,UNKNOWN,0.0,0.0,,251.66669,,False,available_population_recomputed_or_reused_from_role_resolution
139011,Ahmed Reda Tagnaouti,GK,GK,1.0,98.11667,Goalkeeper,1502.3833,600.0,True,available_population_recomputed_or_reused_from_role_resolution
3313,Giovani Lo Celso,MID,MID,1.0,28.666666,Left Center Midfield; Left Defensive Midfield,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
139562,Abdelkarim Baadi,UNKNOWN,UNKNOWN,0.0,0.0,Right Back,409.4167,,False,available_population_recomputed_or_reused_from_role_resolution
28728,Lucas Martínez Quarta,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
138876,Hamza Khaba,CF,CF,1.0,73.933334,Left Center Forward; Right Center Forward; Center Forward,808.81665,750.0,True,available_population_recomputed_or_reused_from_role_resolution
3494,Davinson Sánchez Mina,CB,CB,1.0,130.51666,Right Center Back,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
46648,Marwane Elaz,WINGER,WINGER,1.0,53.55,Left Wing; Left Midfield,258.01666,750.0,False,available_population_recomputed_or_reused_from_role_resolution
477680,Hamza Saoud,MID,MID,1.0,37.983334,Right Defensive Midfield,1441.9332,900.0,True,available_population_recomputed_or_reused_from_role_resolution
141318,Khalid Kbiri Alaoui,UNKNOWN,UNKNOWN,0.0,0.0,,100.26667,,False,available_population_recomputed_or_reused_from_role_resolution
10689,Sabir Bougrine,MID,MID,1.0,95.75,Left Center Midfield,1519.933,900.0,True,available_population_recomputed_or_reused_from_role_resolution
138867,Marouane Bessak,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
16208,Arthur Kevin Yamga,WINGER,WINGER,1.0,112.46667,Left Wing; Left Midfield,908.2999,750.0,True,available_population_recomputed_or_reused_from_role_resolution
