role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score,experiment_008_status
GK,average_x_defensive_action,z_score,0.1274949254743433,-1.4246487192781534,0.0,0.8398192851134201,not_recalibrated_full_population_unavailable
GK,average_x_defensive_action,robust_z_score,0.1274949254743428,-1.424648719278156,0.0,0.8398192851134209,not_recalibrated_full_population_unavailable
GK,average_x_defensive_action,percentile_rank,2.68601390069819e-16,-1.2000000000000006,0.0,0.6000000000000005,not_recalibrated_full_population_unavailable
GK,average_x_defensive_action,min_max,0.1274949254743425,-1.424648719278156,0.0,0.8398192851134205,not_recalibrated_full_population_unavailable
GK,average_x_defensive_action,log_transform,-0.1415150762339204,-1.5806741037426892,0.0,0.9318521281052652,not_recalibrated_full_population_unavailable
GK,average_x_defensive_action,quantile_transform,5.4936470947460116e-11,3.677265602302522,16.666666666666664,2.671966134539531,not_recalibrated_full_population_unavailable
GK,average_x_defensive_action,winsorized_z_score,-0.0277606053692094,-1.8317375705955048,0.0,0.9436293906669616,not_recalibrated_full_population_unavailable
GK,goals_faced_90,z_score,-0.175849527087594,-1.1517965234137253,0.0,0.7517477887944567,not_recalibrated_full_population_unavailable
GK,goals_faced_90,robust_z_score,-0.1758495270875945,-1.1517965234137253,0.0,0.7517477887944571,not_recalibrated_full_population_unavailable
GK,goals_faced_90,percentile_rank,3.3487965515198213e-16,-1.2000000000000002,0.0,0.6000000000000004,not_recalibrated_full_population_unavailable
GK,goals_faced_90,min_max,-0.1758495270875957,-1.1517965234137253,0.0,0.7517477887944584,not_recalibrated_full_population_unavailable
GK,goals_faced_90,log_transform,-0.4524447863925681,-0.9575834923648164,0.0,0.9312365325749764,not_recalibrated_full_population_unavailable
GK,goals_faced_90,quantile_transform,5.4936412887732194e-11,3.677265602302522,16.666666666666664,2.671966134539531,not_recalibrated_full_population_unavailable
GK,goals_faced_90,winsorized_z_score,-0.2073105125261132,-1.2341418874751469,0.0,0.8243814562636866,not_recalibrated_full_population_unavailable
GK,obv_pass_90,z_score,0.8360852182306613,2.335786597443403,16.666666666666664,2.837311850285696,not_recalibrated_full_population_unavailable
GK,obv_pass_90,robust_z_score,0.8360852182306611,2.335786597443402,16.666666666666664,2.837311850285695,not_recalibrated_full_population_unavailable
GK,obv_pass_90,percentile_rank,3.453446443754816e-16,-1.1999999999999995,0.0,0.6000000000000002,not_recalibrated_full_population_unavailable
GK,obv_pass_90,min_max,0.8360852182306618,2.335786597443403,16.666666666666664,2.8373118502856967,not_recalibrated_full_population_unavailable
GK,obv_pass_90,log_transform,0.7106026201062844,2.2089319316271245,16.666666666666664,2.64840191925318,not_recalibrated_full_population_unavailable
GK,obv_pass_90,quantile_transform,5.493640037892902e-11,3.677265602302522,16.666666666666664,2.671966134539531,not_recalibrated_full_population_unavailable
GK,obv_pass_90,winsorized_z_score,0.9042165386433744,0.3566835927995875,0.0,1.082558335043168,not_recalibrated_full_population_unavailable
GK,p_pass_length,z_score,0.3455295703332512,-0.7554352260537263,0.0,0.7232471833601144,not_recalibrated_full_population_unavailable
GK,p_pass_length,robust_z_score,0.3455295703332512,-0.7554352260537249,0.0,0.7232471833601137,not_recalibrated_full_population_unavailable
GK,p_pass_length,percentile_rank,2.790663792933185e-16,-1.2000000000000002,0.0,0.6000000000000004,not_recalibrated_full_population_unavailable
GK,p_pass_length,min_max,0.3455295703332513,-0.7554352260537249,0.0,0.7232471833601137,not_recalibrated_full_population_unavailable
