provider_dataset,path,available,row_count
events,/home/platform/DataPlatform/tmp/master_data_warehouse/raw/statsbomb/events/4020497/events.json,True,3003
events,/home/platform/DataPlatform/tmp/master_data_warehouse/raw/statsbomb/events/4020497/events.json.meta.json,True,1
events,/home/platform/DataPlatform/tmp/master_data_warehouse/raw/statsbomb/events/4020502/events.json,True,3827
events,/home/platform/DataPlatform/tmp/master_data_warehouse/raw/statsbomb/events/4020502/events.json.meta.json,True,1
events,/home/platform/DataPlatform/tmp/master_data_warehouse/raw/statsbomb/events/4020503/events.json,True,2883
events,/home/platform/DataPlatform/tmp/master_data_warehouse/raw/statsbomb/events/4020503/events.json.meta.json,True,1
events,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_fixture/bronze/statsbomb_events_flat.jsonl,True,5
events,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_fixture/silver/myteam_canonical_events.jsonl,True,5
events,/home/platform/DataPlatform/contracts/serving/events.schema.json,True,1
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020503/events.json,True,2883
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020498/events.json,True,3177
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4030232/events.json,True,2849
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020504/events.json,True,2760
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020500/events.json,True,3143
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020501/events.json,True,2845
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020499/events.json,True,3316
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020497/events.json,True,3003
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4030233/events.json,True,3137
events,/home/platform/DataPlatform/lake/raw/statsbomb/events/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/match_id=4020502/events.json,True,3827
events,/home/platform/DataPlatform/tests/fixtures/statsbomb_raw/events/extracted_date=2026-05-12/run_id=sample/match_id=99001/events.json,True,5
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4034284/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4034575/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051533/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4047790/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031428/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051542/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057958/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4059492/lineups.json,False,0
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4059481/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051531/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4020503/lineups.json,True,2
