role,player_id,base_rank,mean_bootstrap_rank,average_rank_variation,worst_case_rank_variation,rank_std,experiment_008_status
MID,10689,7.0,12.556666666666668,8.216666666666667,27.0,9.217192868228516,not_recomputed_full_population_unavailable
MID,138860,34.0,32.22,1.78,18.0,3.1904330233142617,not_recomputed_full_population_unavailable
MID,138872,15.0,16.05666666666667,3.776666666666667,12.0,4.618574055909677,not_recomputed_full_population_unavailable
MID,138873,12.0,12.14,3.64,10.0,4.274103399102639,not_recomputed_full_population_unavailable
MID,138983,8.0,11.09,4.283333333333333,18.0,4.642601191077906,not_recomputed_full_population_unavailable
MID,139565,21.0,17.926666666666666,6.766666666666667,20.0,8.077464970938884,not_recomputed_full_population_unavailable
MID,140872,9.0,11.896666666666668,6.37,24.0,7.713038230904442,not_recomputed_full_population_unavailable
MID,141254,14.0,13.293333333333331,3.4466666666666668,12.0,4.158316270186594,not_recomputed_full_population_unavailable
MID,143166,16.0,17.173333333333332,7.16,18.0,8.508305339768784,not_recomputed_full_population_unavailable
MID,144436,3.0,4.24,1.92,10.0,2.497302892948797,not_recomputed_full_population_unavailable
MID,151743,11.0,12.3,4.193333333333333,18.0,5.349022353082782,not_recomputed_full_population_unavailable
MID,194912,30.0,28.446666666666665,2.5,13.0,2.9692665821166124,not_recomputed_full_population_unavailable
MID,21648,25.0,23.856666666666666,7.003333333333333,17.0,7.894546753955555,not_recomputed_full_population_unavailable
MID,312413,17.0,17.48,5.04,15.0,6.073925851608341,not_recomputed_full_population_unavailable
MID,313284,6.0,8.743333333333334,4.503333333333333,22.0,5.709007336784603,not_recomputed_full_population_unavailable
MID,407207,31.0,28.883333333333333,2.4566666666666666,10.0,2.3540448834434837,not_recomputed_full_population_unavailable
MID,407506,24.0,23.15333333333333,4.56,22.0,6.09098974517346,not_recomputed_full_population_unavailable
MID,407852,13.0,12.38,5.233333333333333,13.0,6.192745783127882,not_recomputed_full_population_unavailable
MID,415853,19.0,16.893333333333334,4.513333333333334,16.0,5.4535394498121805,not_recomputed_full_population_unavailable
MID,416303,18.0,17.12,5.6066666666666665,17.0,7.04777770425273,not_recomputed_full_population_unavailable
MID,424979,5.0,7.68,3.8866666666666663,17.0,4.375853476235802,not_recomputed_full_population_unavailable
MID,442288,27.0,25.74333333333333,2.09,9.0,2.4585096681084724,not_recomputed_full_population_unavailable
MID,442292,22.0,18.65333333333333,3.72,12.0,3.242664304992392,not_recomputed_full_population_unavailable
MID,443951,32.0,28.82333333333333,4.4366666666666665,23.0,5.88622241083262,not_recomputed_full_population_unavailable
MID,446355,23.0,22.74333333333333,4.036666666666667,17.0,5.128853610057536,not_recomputed_full_population_unavailable
MID,450709,29.0,27.64,3.3266666666666667,18.0,4.40853535162057,not_recomputed_full_population_unavailable
MID,477679,28.0,26.916666666666668,2.79,15.0,3.639672091273545,not_recomputed_full_population_unavailable
MID,477680,10.0,11.576666666666666,5.243333333333333,22.0,6.414666687985333,not_recomputed_full_population_unavailable
MID,477682,2.0,4.6866666666666665,3.273333333333333,29.0,4.659132315715022,not_recomputed_full_population_unavailable
