role,player_id,season_id,split_name,matches,minutes,split_score,split_score_std,date_method
CF,335508,318,first_half,1,28.95,,,match_date
CF,335508,318,second_half,1,20.716667,9.803526859446166,,match_date
CF,360406,318,full_season,1,96.1,20.728064514146517,,match_date
CF,360406,318,first_half,1,96.1,20.728064514146517,,match_date
CF,360406,318,second_half,0,0.0,,,match_date
CF,38423,318,full_season,1,41.083332,,,match_date
CF,38423,318,first_half,1,41.083332,,,match_date
CF,38423,318,second_half,0,0.0,,,match_date
CF,406860,318,full_season,1,38.1,0.0,,match_date
CF,406860,318,first_half,1,38.1,0.0,,match_date
CF,406860,318,second_half,0,0.0,,,match_date
CF,409301,318,full_season,2,137.733334,43.822565494170235,11.35111388351219,match_date
CF,409301,318,first_half,1,96.316666,35.796115893118,,match_date
CF,409301,318,second_half,1,41.416668,51.84901509522247,,match_date
CF,442295,318,full_season,1,14.833333,,,match_date
CF,442295,318,first_half,1,14.833333,,,match_date
CF,442295,318,second_half,0,0.0,,,match_date
CF,453613,318,full_season,1,92.63333,56.56491226217099,,match_date
CF,453613,318,first_half,1,92.63333,56.56491226217099,,match_date
CF,453613,318,second_half,0,0.0,,,match_date
CF,477684,318,full_season,1,81.96667,14.586562408989792,,match_date
CF,477684,318,first_half,1,81.96667,14.586562408989792,,match_date
CF,477684,318,second_half,0,0.0,,,match_date
CF,503286,318,full_season,1,68.933334,21.446931114212727,,match_date
CF,503286,318,first_half,1,68.933334,21.446931114212727,,match_date
CF,503286,318,second_half,0,0.0,,,match_date
CF,522342,318,full_season,2,120.183336,29.539281091972878,14.55991933660812,match_date
CF,522342,318,first_half,1,36.35,39.83469878841762,,match_date
CF,522342,318,second_half,1,83.833336,19.243863395528138,,match_date
CF,524001,318,full_season,1,21.583334,97.36462889415857,,match_date
CF,524001,318,first_half,1,21.583334,97.36462889415857,,match_date
CF,524001,318,second_half,0,0.0,,,match_date
CF,524392,318,full_season,1,80.03333,10.281009715394761,,match_date
CF,524392,318,first_half,1,80.03333,10.281009715394761,,match_date
CF,524392,318,second_half,0,0.0,,,match_date
FB,135851,318,full_season,1,86.433334,54.84551667433602,,match_date
FB,135851,318,first_half,1,86.433334,54.84551667433602,,match_date
FB,135851,318,second_half,0,0.0,,,match_date
FB,138910,318,full_season,1,11.816667,,,match_date
FB,138910,318,first_half,1,11.816667,,,match_date
FB,138910,318,second_half,0,0.0,,,match_date
FB,138927,318,full_season,2,216.28332999999998,41.9541316647684,1.942489220688701,match_date
FB,138927,318,first_half,1,109.3,43.32767896509915,,match_date
FB,138927,318,second_half,1,106.98333,40.58058436443765,,match_date
FB,138945,318,full_season,1,95.73333,,,match_date
FB,138945,318,first_half,1,95.73333,,,match_date
FB,138945,318,second_half,0,0.0,,,match_date
FB,138949,318,full_season,1,98.75,57.38432044989381,,match_date
FB,138949,318,first_half,1,98.75,57.38432044989381,,match_date
FB,138949,318,second_half,0,0.0,,,match_date
FB,138956,318,full_season,1,98.11667,37.468569287178184,,match_date
FB,138956,318,first_half,1,98.11667,37.468569287178184,,match_date
FB,138956,318,second_half,0,0.0,,,match_date
FB,139560,318,full_season,2,199.566664,43.46769306866298,,match_date
FB,139560,318,first_half,1,96.683334,,,match_date
FB,139560,318,second_half,1,102.88333,43.46769306866298,,match_date
FB,140876,318,full_season,1,103.8,54.42762326927037,,match_date
FB,140876,318,first_half,1,103.8,54.42762326927037,,match_date
FB,140876,318,second_half,0,0.0,,,match_date
FB,142789,318,full_season,1,102.96667,46.727154748549204,,match_date
FB,142789,318,first_half,1,102.96667,46.727154748549204,,match_date
FB,142789,318,second_half,0,0.0,,,match_date
FB,152015,318,full_season,2,125.31667,34.28988319402326,,match_date
FB,152015,318,first_half,1,36.45,34.28988319402326,,match_date
FB,152015,318,second_half,1,88.86667,,,match_date
FB,178342,318,full_season,1,46.083332,41.02511469868573,,match_date
FB,178342,318,first_half,1,46.083332,41.02511469868573,,match_date
FB,178342,318,second_half,0,0.0,,,match_date
FB,261620,318,full_season,1,38.583332,,,match_date
FB,261620,318,first_half,1,38.583332,,,match_date
FB,261620,318,second_half,0,0.0,,,match_date
FB,313287,318,full_season,1,109.3,31.7694307604262,,match_date
FB,313287,318,first_half,1,109.3,31.7694307604262,,match_date
FB,313287,318,second_half,0,0.0,,,match_date
FB,314451,318,full_season,1,78.51667,49.15071145212611,,match_date
FB,314451,318,first_half,1,78.51667,49.15071145212611,,match_date
FB,314451,318,second_half,0,0.0,,,match_date
FB,337496,318,full_season,1,102.88333,50.913983508773164,,match_date
FB,337496,318,first_half,1,102.88333,50.913983508773164,,match_date
FB,337496,318,second_half,0,0.0,,,match_date
FB,339278,318,full_season,1,96.1,73.43812290308882,,match_date
FB,339278,318,first_half,1,96.1,73.43812290308882,,match_date
FB,339278,318,second_half,0,0.0,,,match_date
FB,406864,318,full_season,1,96.1,40.06847706546014,,match_date
FB,406864,318,first_half,1,96.1,40.06847706546014,,match_date
FB,406864,318,second_half,0,0.0,,,match_date
FB,442100,318,full_season,1,112.46667,,,match_date
FB,442100,318,first_half,1,112.46667,,,match_date
FB,442100,318,second_half,0,0.0,,,match_date
FB,442286,318,full_season,1,96.1,,,match_date
FB,442286,318,first_half,1,96.1,,,match_date
FB,442286,318,second_half,0,0.0,,,match_date
FB,522352,318,full_season,2,206.68333,33.66279593032469,10.260559506048345,match_date
FB,522352,318,first_half,1,103.8,26.407484724829814,,match_date
FB,522352,318,second_half,1,102.88333,40.91810713581957,,match_date
FB,523293,318,full_season,1,89.0,56.386751188306405,,match_date
FB,523293,318,first_half,1,89.0,56.386751188306405,,match_date
FB,523293,318,second_half,0,0.0,,,match_date
FB,523318,318,full_season,1,96.683334,,,match_date
FB,523318,318,first_half,1,96.683334,,,match_date
FB,523318,318,second_half,0,0.0,,,match_date
FB,81364,318,full_season,1,79.433334,35.24726822546731,,match_date
FB,81364,318,first_half,1,79.433334,35.24726822546731,,match_date
FB,81364,318,second_half,0,0.0,,,match_date
GK,138841,318,full_season,1,112.46667,57.142857142857146,,match_date
GK,138841,318,first_half,1,112.46667,57.142857142857146,,match_date
GK,138841,318,second_half,0,0.0,,,match_date
GK,138950,318,full_season,1,102.96667,42.857142857142854,,match_date
GK,138950,318,first_half,1,102.96667,42.857142857142854,,match_date
GK,138950,318,second_half,0,0.0,,,match_date
GK,138972,318,full_season,1,103.8,35.714285714285715,,match_date
GK,138972,318,first_half,1,103.8,35.714285714285715,,match_date
GK,138972,318,second_half,0,0.0,,,match_date
GK,139011,318,full_season,1,98.11667,7.142857142857143,,match_date
GK,139011,318,first_half,1,98.11667,7.142857142857143,,match_date
GK,139011,318,second_half,0,0.0,,,match_date
GK,139555,318,full_season,1,96.1,92.85714285714286,,match_date
GK,139555,318,first_half,1,96.1,92.85714285714286,,match_date
GK,139555,318,second_half,0,0.0,,,match_date
GK,139572,318,full_season,2,190.10000000000002,50.0,40.40610178208843,match_date
GK,139572,318,first_half,1,104.95,78.57142857142857,,match_date
GK,139572,318,second_half,1,85.15,21.428571428571427,,match_date
GK,317852,318,full_season,1,109.3,85.71428571428571,,match_date
GK,317852,318,first_half,1,109.3,85.71428571428571,,match_date
GK,317852,318,second_half,0,0.0,,,match_date
GK,362445,318,full_season,1,104.95,50.0,,match_date
GK,362445,318,first_half,1,104.95,50.0,,match_date
GK,362445,318,second_half,0,0.0,,,match_date
GK,36951,318,full_season,1,96.1,71.42857142857143,,match_date
GK,36951,318,first_half,1,96.1,71.42857142857143,,match_date
GK,36951,318,second_half,0,0.0,,,match_date
GK,477675,318,full_season,1,96.683334,14.285714285714286,,match_date
GK,477675,318,first_half,1,96.683334,14.285714285714286,,match_date
GK,477675,318,second_half,0,0.0,,,match_date
GK,522350,318,full_season,2,206.68333,82.14285714285714,25.253813613805264,match_date
GK,522350,318,first_half,1,103.8,64.28571428571429,,match_date
GK,522350,318,second_half,1,102.88333,100.0,,match_date
GK,523287,318,full_season,1,98.11667,28.571428571428573,,match_date
GK,523287,318,first_half,1,98.11667,28.571428571428573,,match_date
GK,523287,318,second_half,0,0.0,,,match_date
MID,10689,318,full_season,1,95.75,48.91229085904863,,match_date
MID,10689,318,first_half,1,95.75,48.91229085904863,,match_date
MID,10689,318,second_half,0,0.0,,,match_date
MID,138860,318,full_season,1,89.316666,42.27483852072131,,match_date
