role,latent_dimension,metric,equal_weight,pca_loading_weight,variance_contribution_weight,stability_adjusted_weight,entropy_weight,bootstrap_stability_weight,method_disagreement,shrinkage_to_equal,max_weight_cap,ensemble_candidate_weight,warning_flags,experiment_008_status
CF,CF_D1,op_passes_into_and_touches_inside_box_90,0.25,0.2341860189866154,0.9736587484566532,0.2607752577358873,0.2935553617295507,0.2507058931055026,0.2928985372606237,0.6451946580207524,0.4,0.3041348706890016,small_sample;high_method_disagreement;wide_confidence_interval,not_recomputed_full_population_unavailable
CF,CF_D1,op_xgchain_90,0.25,0.2455851816857113,0.0079979349633892,0.266114622467531,0.2100157619164956,0.2586043690725472,0.0990999725239649,0.6451946580207524,0.4,0.2314307564825971,small_sample;wide_confidence_interval,not_recomputed_full_population_unavailable
CF,CF_D2,np_shots_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
CF,CF_D3,aerial_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
CF,CF_D4,aerial_wins_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
FB,FB_D1,ball_recoveries_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
FB,FB_D2,counterpressures_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
FB,FB_D3,obv_dribble_carry_90,0.5,0.500715129005038,7.532449276462893e-05,0.484714929585902,0.4999999999999992,0.5096761994304136,0.2038523235243253,0.6499999999999999,0.6,0.4646627107759882,small_sample;high_method_disagreement,not_recomputed_full_population_unavailable
FB,FB_D3,op_f3_passes_90,0.5,0.4992848709949619,0.9999246755072354,0.515285070414098,0.5000000000000008,0.4903238005695863,0.2038523235243253,0.6499999999999999,0.6,0.5353372892240118,small_sample;high_method_disagreement,not_recomputed_full_population_unavailable
FB,FB_D4,box_cross_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
FB,FB_D5,key_passes_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
FB,FB_D6,dribble_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
FB,FB_D7,obv_pass_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
GK,GK_D1,goals_faced_90,0.3333333333333333,0.2840318908513152,0.0023421149695306,0.3161353049780416,0.3367300922794642,0.3244354007849045,0.130617938000939,0.6499999999999999,0.4,0.3051239029370946,small_sample;wide_confidence_interval,not_recomputed_full_population_unavailable
GK,GK_D1,obv_pass_90,0.3333333333333333,0.3344588004398157,2.769710045681649e-05,0.2926426232265733,0.3367300922794642,0.3389691461841626,0.134707012246053,0.6499999999999999,0.4,0.3078646518127998,small_sample;wide_confidence_interval,not_recomputed_full_population_unavailable
GK,GK_D1,pass_length,0.3333333333333333,0.381509308708869,0.9976301879300123,0.3912220717953849,0.3265398154410714,0.3365954530309329,0.2642023403819418,0.6499999999999999,0.4,0.3870114452501056,small_sample;high_method_disagreement;wide_confidence_interval,not_recomputed_full_population_unavailable
GK,GK_D2,p_pass_length,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
GK,GK_D3,average_x_defensive_action,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
MID,MID_D1,key_passes_90,0.5,0.4921143458482306,0.0177886093322172,0.4569006991307535,0.4977408152913959,0.5023638984944798,0.1934392940937263,0.4,0.6,0.4360290041716492,high_method_disagreement,not_recomputed_full_population_unavailable
