role_family,dimension_id,dimension_label,metric,cluster_id,primary_pca_component,primary_pca_loading,assignment_explanation,stability_score,confidence_score,football_interpretation,experiment_008_status
FB,FB_D3,Data-driven cluster 3,op_f3_passes_90,3,PC3,-0.5339635451993985,Assigned by hierarchical feature cluster 3 and strongest PCA association PC3 loading=-0.534; secondary_factor=FA1 loading=0.799.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D6,Data-driven cluster 6,ball_recoveries_90,6,PC2,0.5325552717806727,Assigned by hierarchical feature cluster 6 and strongest PCA association PC2 loading=0.533; secondary_factor=FA3 loading=0.726.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D7,Data-driven cluster 7,counterpressures_90,7,PC3,0.877923009751991,Assigned by hierarchical feature cluster 7 and strongest PCA association PC3 loading=0.878; secondary_factor=FA2 loading=-0.172.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D1,Data-driven cluster 1,key_passes_90,1,PC1,0.4812285624314343,Assigned by hierarchical feature cluster 1 and strongest PCA association PC1 loading=0.481; secondary_factor=FA1 loading=0.972.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D5,Data-driven cluster 5,obv_dribble_carry_90,5,PC2,0.601414357841041,Assigned by hierarchical feature cluster 5 and strongest PCA association PC2 loading=0.601; secondary_factor=FA3 loading=0.407.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D4,Data-driven cluster 4,obv_pass_90,4,PC5,0.6193042123192963,Assigned by hierarchical feature cluster 4 and strongest PCA association PC5 loading=0.619; secondary_factor=FA1 loading=0.633.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D1,Data-driven cluster 1,op_f3_passes_90,1,PC1,0.4966510025342382,Assigned by hierarchical feature cluster 1 and strongest PCA association PC1 loading=0.497; secondary_factor=FA1 loading=0.885.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D3,Data-driven cluster 3,op_passes_90,3,PC4,-0.5853303041625677,Assigned by hierarchical feature cluster 3 and strongest PCA association PC4 loading=-0.585; secondary_factor=FA2 loading=0.721.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
MID,MID_D2,Data-driven cluster 2,through_balls_90,2,PC5,-0.554324902129416,Assigned by hierarchical feature cluster 2 and strongest PCA association PC5 loading=-0.554; secondary_factor=FA1 loading=0.811.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
WINGER,WINGER_D5,Data-driven cluster 5,crossing_ratio,5,PC5,0.6649488668333423,Assigned by hierarchical feature cluster 5 and strongest PCA association PC5 loading=0.665; secondary_factor=FA1 loading=0.515.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
WINGER,WINGER_D4,Data-driven cluster 4,dribble_ratio,4,PC3,0.7720455582498239,Assigned by hierarchical feature cluster 4 and strongest PCA association PC3 loading=0.772; secondary_factor=FA3 loading=-0.726.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
WINGER,WINGER_D2,Data-driven cluster 2,key_passes_90,2,PC2,0.5101038708176912,Assigned by hierarchical feature cluster 2 and strongest PCA association PC2 loading=0.510; secondary_factor=FA2 loading=0.832.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
WINGER,WINGER_D1,Data-driven cluster 1,np_shots_90,1,PC1,0.4554762429872691,Assigned by hierarchical feature cluster 1 and strongest PCA association PC1 loading=0.455; secondary_factor=FA1 loading=-0.934.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
WINGER,WINGER_D1,Data-driven cluster 1,np_xg_90,1,PC5,0.5842226084889982,Assigned by hierarchical feature cluster 1 and strongest PCA association PC5 loading=0.584; secondary_factor=FA1 loading=-0.717.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
WINGER,WINGER_D6,Data-driven cluster 6,obv_dribble_carry_90,6,PC4,0.7555963626856367,Assigned by hierarchical feature cluster 6 and strongest PCA association PC4 loading=0.756; secondary_factor=FA2 loading=0.317.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
WINGER,WINGER_D3,Data-driven cluster 3,obv_pass_90,3,PC3,-0.4680055134720882,Assigned by hierarchical feature cluster 3 and strongest PCA association PC3 loading=-0.468; secondary_factor=FA2 loading=0.502.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CF,CF_D3,Data-driven cluster 3,aerial_ratio,3,PC4,0.6916781800358878,Assigned by hierarchical feature cluster 3 and strongest PCA association PC4 loading=0.692; secondary_factor=FA1 loading=0.454.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CF,CF_D4,Data-driven cluster 4,aerial_wins_90,4,PC2,0.6825203465336162,Assigned by hierarchical feature cluster 4 and strongest PCA association PC2 loading=0.683; secondary_factor=FA2 loading=0.904.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CF,CF_D1,Data-driven cluster 1,goals_90,1,PC3,0.5514127530707447,Assigned by hierarchical feature cluster 1 and strongest PCA association PC3 loading=0.551; secondary_factor=FA1 loading=-0.744.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CF,CF_D2,Data-driven cluster 2,np_shots_90,2,PC5,0.7307967532325893,Assigned by hierarchical feature cluster 2 and strongest PCA association PC5 loading=0.731; secondary_factor=FA1 loading=-0.819.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CF,CF_D1,Data-driven cluster 1,np_xg_90,1,PC1,0.4701271313512234,Assigned by hierarchical feature cluster 1 and strongest PCA association PC1 loading=0.470; secondary_factor=FA1 loading=-0.963.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CF,CF_D1,Data-driven cluster 1,op_passes_into_and_touches_inside_box_90,1,PC2,0.4213949020431405,Assigned by hierarchical feature cluster 1 and strongest PCA association PC2 loading=0.421; secondary_factor=FA1 loading=-0.770.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CF,CF_D1,Data-driven cluster 1,op_xgchain_90,1,PC3,-0.5124171875481818,Assigned by hierarchical feature cluster 1 and strongest PCA association PC3 loading=-0.512; secondary_factor=FA1 loading=-0.864.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
