role,player_id,player_name,review_category,score,percentile,reason
CB,7378,Yunis Abdelhamid,top20,47.64963119461793,28.000000000000004,football_expert_review_required_not_quality_judgement
CB,313283,Tahar Ahmed Madeira El Khalej,top20,43.37933056215727,24.0,football_expert_review_required_not_quality_judgement
CB,442093,Yassine Fatine,bottom20,31.604164816877105,4.0,football_expert_review_required_not_quality_judgement
CB,202502,Soulaimane El Amrani,bottom20,33.33627865745442,8.0,football_expert_review_required_not_quality_judgement
CB,138958,Mouad Bahsain,bottom20,35.449185570962634,12.0,football_expert_review_required_not_quality_judgement
CB,139023,Amine Aboulfath,bottom20,39.368541024207225,16.0,football_expert_review_required_not_quality_judgement
CB,138871,Karim El Bounagat,bottom20,42.375156008408055,20.0,football_expert_review_required_not_quality_judgement
CB,313283,Tahar Ahmed Madeira El Khalej,bottom20,43.37933056215727,24.0,football_expert_review_required_not_quality_judgement
CB,7378,Yunis Abdelhamid,bottom20,47.64963119461793,28.000000000000004,football_expert_review_required_not_quality_judgement
CB,477678,Cheick Keita,bottom20,48.06390819689062,32.0,football_expert_review_required_not_quality_judgement
CB,338916,Johnstone Omurwa,bottom20,48.188940746842086,36.0,football_expert_review_required_not_quality_judgement
CB,523290,Achraf Zine,bottom20,50.16834912306648,40.0,football_expert_review_required_not_quality_judgement
CB,363239,Bilal Soufi,bottom20,51.183949736607765,44.0,football_expert_review_required_not_quality_judgement
CB,419744,Driss El Jabali,bottom20,52.4345938473122,48.0,football_expert_review_required_not_quality_judgement
CB,138998,Abdellah Khafifi,bottom20,54.03924387991279,52.0,football_expert_review_required_not_quality_judgement
CB,314452,Zouhair Marour,bottom20,54.22863132188184,56.00000000000001,football_expert_review_required_not_quality_judgement
CB,314466,Mohamed Saoud,bottom20,54.75947766590858,60.0,football_expert_review_required_not_quality_judgement
CB,407555,James Monday Ajako,bottom20,55.027065073459454,64.0,football_expert_review_required_not_quality_judgement
CB,157113,Badr Gaddarine,bottom20,55.1673296857255,68.0,football_expert_review_required_not_quality_judgement
CB,409303,Faraji Karmoune,bottom20,56.66319537961723,72.0,football_expert_review_required_not_quality_judgement
CB,49760,Adil Rhaili,bottom20,57.4892418344554,76.0,football_expert_review_required_not_quality_judgement
CB,131244,Ismaël Kandouss,bottom20,57.62348748861237,80.0,football_expert_review_required_not_quality_judgement
CB,524512,Reda Ait Boughima,highest_percentile,67.2078232699728,100.0,football_expert_review_required_not_quality_judgement
CB,138918,Marwan Louadni,highest_percentile,67.20775450326752,96.0,football_expert_review_required_not_quality_judgement
