role_family,metric,selected_normalization,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score,selection_rule,experiment_008_status
WINGER,crossing_ratio,percentile_rank,0.0003412128055177,-1.2000186698700026,0.0,0.6003505477405191,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
WINGER,dribble_ratio,percentile_rank,0.0043986277856485,-1.1672084472419355,0.0,0.5880028514066163,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
WINGER,key_passes_90,percentile_rank,-1.8783775193171202e-16,-1.2000000000000002,0.0,0.6000000000000003,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
WINGER,np_shots_90,percentile_rank,-1.6012398525326278e-16,-1.1999999999999993,0.0,0.5999999999999998,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
WINGER,np_xg_90,percentile_rank,-1.1162489356597643e-16,-1.2000000000000002,0.0,0.6000000000000002,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
WINGER,obv_dribble_carry_90,winsorized_z_score,-0.0217748136763373,-0.8061710541178297,0.0,0.4248603407352522,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
WINGER,obv_pass_90,log_transform,0.3640612199488589,0.168694707440975,0.0,0.4484085736693464,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
CF,aerial_ratio,z_score,-0.1716472083027715,-0.5634299536019229,0.0,0.453362185103733,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
CF,aerial_wins_90,log_transform,-0.0283350364754677,-0.4578161664620319,0.0,0.2572431197064836,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
CF,goals_90,log_transform,0.2307893301052506,-0.4755283575775086,0.0,0.468553508894005,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
CF,np_shots_90,winsorized_z_score,0.3827661607565487,-0.2007620569392578,0.0,0.4831471892261776,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
CF,np_xg_90,z_score,-0.1318665703494184,-0.4178703593131803,0.0,0.3408017500060086,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
CF,op_passes_into_and_touches_inside_box_90,winsorized_z_score,-0.040567298705835,-0.2459275569578922,0.0,0.1635310771847811,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
CF,op_xgchain_90,log_transform,-0.0390266202261774,0.5211083170892934,0.0,0.2995807787708241,min_abs_skew_plus_half_abs_kurtosis_plus_outlier_penalty,not_recalibrated_full_population_unavailable
