scope,role,entity,flag
dimension_weight,FB,FB_D5,single_metric_dimension
dimension_weight,FB,FB_D5,small_sample
dimension_weight,FB,FB_D5,unstable_weight
dimension_weight,FB,FB_D6,single_metric_dimension
dimension_weight,FB,FB_D6,small_sample
dimension_weight,FB,FB_D6,unstable_weight
dimension_weight,FB,FB_D7,single_metric_dimension
dimension_weight,FB,FB_D7,small_sample
dimension_weight,FB,FB_D7,unstable_weight
dimension_weight,GK,GK_D1,small_sample
dimension_weight,GK,GK_D1,unstable_weight
dimension_weight,GK,GK_D2,single_metric_dimension
dimension_weight,GK,GK_D2,small_sample
dimension_weight,GK,GK_D2,unstable_weight
dimension_weight,GK,GK_D3,single_metric_dimension
dimension_weight,GK,GK_D3,small_sample
dimension_weight,GK,GK_D3,unstable_weight
dimension_weight,MID,MID_D1,unstable_weight
dimension_weight,MID,MID_D2,single_metric_dimension
dimension_weight,MID,MID_D2,unstable_weight
dimension_weight,MID,MID_D4,single_metric_dimension
dimension_weight,MID,MID_D4,unstable_weight
dimension_weight,MID,MID_D5,single_metric_dimension
dimension_weight,MID,MID_D5,unstable_weight
dimension_weight,MID,MID_D6,single_metric_dimension
dimension_weight,MID,MID_D6,unstable_weight
dimension_weight,MID,MID_D7,single_metric_dimension
dimension_weight,MID,MID_D7,unstable_weight
dimension_weight,WINGER,WINGER_D1,small_sample
dimension_weight,WINGER,WINGER_D1,unstable_weight
dimension_weight,WINGER,WINGER_D2,single_metric_dimension
dimension_weight,WINGER,WINGER_D2,small_sample
dimension_weight,WINGER,WINGER_D2,unstable_weight
dimension_weight,WINGER,WINGER_D3,single_metric_dimension
dimension_weight,WINGER,WINGER_D3,small_sample
dimension_weight,WINGER,WINGER_D3,unstable_weight
dimension_weight,WINGER,WINGER_D4,single_metric_dimension
dimension_weight,WINGER,WINGER_D4,small_sample
dimension_weight,WINGER,WINGER_D4,unstable_weight
dimension_weight,WINGER,WINGER_D5,single_metric_dimension
dimension_weight,WINGER,WINGER_D5,small_sample
dimension_weight,WINGER,WINGER_D5,unstable_weight
dimension_weight,WINGER,WINGER_D6,single_metric_dimension
dimension_weight,WINGER,WINGER_D6,small_sample
dimension_weight,WINGER,WINGER_D6,unstable_weight
prototype_role_score,CB,131244,limited_dataset_scope
