role,threshold,eligible_player_count,score_mean,score_std,score_reliability,rank_stability,confidence_index,top_player_preservation,volatility,threshold_recommendation
GK,300,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,lower_threshold_possible
GK,450,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,lower_threshold_possible
GK,600,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,keep_current_threshold
GK,750,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,insufficient_evidence
GK,900,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,insufficient_evidence
CB,450,25,51.167609174217304,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,lower_threshold_possible
CB,600,25,51.167609174217304,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,lower_threshold_possible
CB,750,25,51.167609174217304,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,lower_threshold_possible
CB,900,25,51.167609174217304,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,keep_current_threshold
CB,1200,20,53.75159416887417,7.975905124323961,0.7671789155839119,0.8,,0.8,7.975905124323961,insufficient_evidence
FB,450,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,lower_threshold_possible
FB,600,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,lower_threshold_possible
FB,750,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,lower_threshold_possible
FB,900,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,keep_current_threshold
FB,1200,19,51.35065483796405,8.561706585512715,0.7468805135028246,0.75,,0.75,8.561706585512715,insufficient_evidence
MID,450,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,lower_threshold_possible
MID,600,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,lower_threshold_possible
MID,750,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,lower_threshold_possible
MID,900,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,keep_current_threshold
MID,1200,27,51.515851302622686,13.687511336979213,0.7457321209616311,0.8333333333333334,,0.8333333333333334,13.687511336979213,insufficient_evidence
WINGER,300,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,lower_threshold_possible
WINGER,450,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,lower_threshold_possible
WINGER,600,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,lower_threshold_possible
WINGER,750,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,keep_current_threshold
WINGER,900,22,52.01557020659441,13.181520341235503,0.7297225958726332,0.8,,0.8,13.181520341235503,insufficient_evidence
CF,300,22,48.05414098402763,13.968937832251035,0.735241221579839,1.0,,1.0,13.968937832251035,lower_threshold_possible
CF,450,22,48.05414098402763,13.968937832251035,0.735241221579839,1.0,,1.0,13.968937832251035,lower_threshold_possible
CF,600,22,48.05414098402763,13.968937832251035,0.735241221579839,1.0,,1.0,13.968937832251035,lower_threshold_possible
CF,750,22,48.05414098402763,13.968937832251035,0.735241221579839,1.0,,1.0,13.968937832251035,keep_current_threshold
CF,900,17,47.3111397128993,11.630417582047727,0.7408354219937461,0.5,,0.5,11.630417582047727,raise_threshold_needed
