statsbomb_player_id,role_family,role_minutes,role_minute_share
317852,GK,109.3,1.0
477675,GK,96.683334,1.0
138845,MID,211.93333,1.0
6312,UNKNOWN,0.0,0.0
3302,WINGER,80.9,1.0
5726,UNKNOWN,0.0,0.0
5726,CF,22.366667,1.0
5503,CF,66.88333,1.0
7378,CB,98.11667,1.0
3090,WINGER,8.216666,1.0
3090,CB,0.0,0.0
2995,WINGER,122.30000000000001,1.0
4276,UNKNOWN,0.0,0.0
27225,GK,130.51666,1.0
139545,MID,38.1,1.0
139001,WINGER,88.0,1.0
139565,MID,96.1,1.0
140881,CB,137.85,1.0
6193,MID,0.0,0.0
49760,CB,112.46667,1.0
7161,UNKNOWN,0.0,0.0
5695,MID,95.066666,1.0
143490,WINGER,87.566666,1.0
3319,CF,109.3,1.0
19597,UNKNOWN,0.0,0.0
51475,UNKNOWN,0.0,0.0
5696,FB,130.51666,1.0
524395,WINGER,0.579867266895945,0.02350813307708245
524395,MID,24.086798733104054,0.9764918669229176
7717,MID,164.900004,1.0
3252,CB,179.22698,0.8980807536072257
3252,FB,20.339684000000005,0.10191924639277432
138842,CB,96.1,1.0
406860,CF,38.1,1.0
442295,CF,14.833333,1.0
407663,WINGER,50.599999999999994,1.0
6694,UNKNOWN,0.0,0.0
409454,FB,112.46667,1.0
523314,WINGER,0.5114073057293604,0.01733584087218171
523314,CF,28.98859269427064,0.9826641591278183
139570,WINGER,88.7,1.0
5691,FB,130.51666,1.0
5507,FB,130.51666,1.0
6909,GK,130.51666,1.0
143166,MID,98.11667,1.0
49000,MID,99.25,1.0
143163,FB,195.68333,1.0
139568,WINGER,131.66666999999998,1.0
477682,MID,96.683334,1.0
138904,UNKNOWN,0.0,0.0
313284,MID,93.61667,1.0
5692,MID,0.0,0.0
6333,CF,0.0,0.0
138998,CB,102.96667,1.0
138841,GK,112.46667,1.0
138839,CB,14.4,1.0
141808,CF,142.91666,1.0
139560,FB,179.22698,0.8980807536072257
139560,WINGER,20.339684000000005,0.10191924639277432
29391,FB,104.95,1.0
8817,CF,89.98333,1.0
360406,CF,69.72715,0.7255686784599376
360406,WINGER,26.37285,0.27443132154006245
126527,WINGER,92.03043041954156,0.8634598415979544
126527,CF,14.552905580458443,0.13654015840204553
138999,FB,96.1,1.0
477684,CF,81.96667,1.0
314450,FB,127.9387060889342,0.6595911869236822
314450,CB,18.917483333333337,0.09752955666730441
314450,WINGER,47.11048057773248,0.24287925640901334
194912,MID,145.90896717326058,0.7557439467581876
194912,WINGER,47.15770282673944,0.24425605324181246
64615,WINGER,42.766666,1.0
143162,GK,199.566664,1.0
140886,CF,24.183332,1.0
442288,MID,96.1,1.0
27473,UNKNOWN,0.0,0.0
67700,CB,102.96667,1.0
477677,FB,96.683334,1.0
380600,MID,72.13333,1.0
138949,FB,98.75,1.0
140887,CF,143.60089278765773,0.9460912941566769
140887,MID,8.182443212342267,0.053908705843323065
138973,UNKNOWN,0.0,0.0
139559,UNKNOWN,0.0,0.0
523318,FB,96.683334,1.0
26404,UNKNOWN,0.0,0.0
7797,MID,66.32968333333334,0.5082085561592928
7797,WINGER,64.18697666666667,0.4917914438407071
143452,UNKNOWN,0.0,0.0
16308,MID,29.166666,1.0
134249,WINGER,90.53691666666667,0.8792837203210192
134249,CF,12.429753333333323,0.12071627967898083
21573,WINGER,61.033333,1.0
138982,MID,0.0,0.0
149135,MID,83.85,1.0
140872,MID,98.11667,1.0
6196,UNKNOWN,0.0,0.0
523299,FB,98.11667,1.0
5678,MID,111.05000000000001,1.0
409301,CF,107.83386645365218,0.7829177100559563
409301,MID,29.899467546347815,0.21708228994404374
139554,MID,90.12636889545047,0.5079926928140779
139554,WINGER,87.29029510454953,0.4920073071859221
138918,CB,98.11667,1.0
442292,MID,112.46667,1.0
139555,GK,96.1,1.0
151743,MID,102.96667,1.0
313277,MID,31.85,1.0
46646,MID,104.95,1.0
523296,UNKNOWN,0.0,0.0
7242,WINGER,101.183334,1.0
503286,CF,68.933334,1.0
522354,UNKNOWN,0.0,0.0
522354,CB,47.633335,1.0
314452,CB,98.11667,1.0
27166,UNKNOWN,0.0,0.0
21648,MID,31.833334,1.0
312935,WINGER,46.361486822947455,0.7320234915628229
312935,MID,16.971845177052543,0.2679765084371772
138872,MID,206.68333,1.0
406864,FB,96.1,1.0
138827,MID,31.783333,1.0
442286,FB,96.1,1.0
34952,WINGER,68.57977594908081,0.846838181994749
34952,MID,12.403554050919183,0.153161818005251
28266,CF,41.583332,1.0
140867,CF,95.73332999999998,1.0
523293,FB,89.0,1.0
135851,FB,86.433334,1.0
139572,GK,190.10000000000002,1.0
407665,WINGER,50.599999999999994,1.0
523312,MID,0.40410203607464057,0.013737180007912542
523312,WINGER,29.012563963925356,0.9862628199920874
143504,CF,149.899994,1.0
3032,MID,48.13920299907794,0.6422842209045192
3032,CF,10.946009302578048,0.14604415152146627
3032,WINGER,15.86478869834402,0.21167162757401456
6725,CB,9.483334,0.34359904552177367
6725,FB,18.116667000000003,0.6564009544782263
314466,CB,211.93332999999998,1.0
207378,CF,0.0,0.0
135202,MID,103.8,1.0
225437,MID,61.016665999999994,1.0
139018,UNKNOWN,0.0,0.0
139011,GK,98.11667,1.0
3313,MID,28.666665999999996,1.0
139562,FB,0.0,0.0
28728,UNKNOWN,0.0,0.0
138876,CF,73.933334,1.0
3494,CB,130.51666,1.0
46648,UNKNOWN,0.0,0.0
46648,WINGER,53.55,1.0
477680,MID,37.983334,1.0
141318,UNKNOWN,0.0,0.0
10689,MID,95.75000000000001,1.0
138867,UNKNOWN,0.0,0.0
16208,WINGER,112.46667,1.0
141254,MID,18.85,1.0
144436,MID,102.96667,1.0
138877,WINGER,64.51570050167471,0.8615495205071226
138877,MID,10.367633498325288,0.1384504794928774
381935,WINGER,132.14642873246535,0.9023313672411428
381935,FB,14.303571267534638,0.09766863275885722
138898,MID,19.4,1.0
442093,CB,96.1,1.0
36951,GK,96.1,1.0
9253,CF,38.010350288950434,0.5118090300290367
9253,MID,36.25631571104957,0.4881909699709634
28263,FB,72.35,1.0
202502,CB,104.95,1.0
139004,CF,74.85,1.0
8861,CB,94.85691666666666,0.9138431278098909
8861,FB,8.943083333333334,0.08615687219010919
27158,CF,111.05000000000001,1.0
152015,FB,125.31667,1.0
409303,CB,202.94334666666668,0.9383217220978919
409303,FB,13.339983333333336,0.06167827790210801
407852,MID,102.96667,1.0
138865,CB,46.083332000000006,1.0
139566,CF,73.09035333333333,0.7449330815378602
139566,WINGER,25.026316666666673,0.25506691846213975
139571,UNKNOWN,0.0,0.0
523288,FB,9.35,1.0
30155,WINGER,34.116665,1.0
380596,CF,60.97453333333333,0.592177384519994
380596,WINGER,41.99213666666666,0.4078226154800059
524000,WINGER,21.583334,1.0
11456,CF,0.0,0.0
138873,MID,80.88333,1.0
143160,CB,93.449997,0.7303634168901153
143160,MID,34.5,0.2696365831098847
27277,MID,111.05000000000001,1.0
313287,FB,109.3,1.0
523311,CF,0.2876967483766452,0.009813419054875035
523311,WINGER,29.028971251623357,0.9901865809451249
157113,CB,150.41843,0.7097440973536348
157113,FB,61.514900000000004,0.29025590264636525
139023,CB,103.8,1.0
313283,CB,109.3,1.0
