statsbomb_player_id,player_name,role_family,position_text,observations
157113,Badr Gaddarine,CB,Left Center Back,1
161352,Salaheddine Errahouli,MID,Right Center Midfield,1
16184,Luis Fernando Sinisterra Lucumí,UNKNOWN,,1
16208,Arthur Kevin Yamga,WINGER,Left Wing,1
16308,Leandro Daniel Paredes,MID,Left Center Midfield,1
163983,Aymane El Aouani,UNKNOWN,,1
177972,Anas Nanah,UNKNOWN,,1
178342,Ettayb Boukhriss,FB,Right Back,1
179311,Imad Riahi,WINGER,Left Wing,1
179384,Bouchaib Arrassi,UNKNOWN,,1
183765,Mohammed Amine Essahel,MID,Center Defensive Midfield,1
18855,Jhon Janer Lucumí Bonilla,UNKNOWN,,1
194809,Oussama Zemraoui,MID,Center Attacking Midfield,1
194912,Faouzi Abd El Mouttalib,MID,Right Defensive Midfield,1
194914,Chouaib Faidi,WINGER,Right Wing,1
194915,Hamza Janan Allah,UNKNOWN,,1
195016,Mouad Mouchtanim,MID,Center Attacking Midfield,1
195301,Fahd Bendahmane,WINGER,Right Wing,1
195772,Anas Essafir,FB,Right Wing Back,1
19597,Marcos Javier Acuña,UNKNOWN,,1
199611,Youssef Mehri,WINGER,Right Midfield,1
199612,Abdallah Boukhanfer,UNKNOWN,,1
200507,Abderrahmane Kernane,GK,Goalkeeper,2
202502,Soulaimane El Amrani,CB,Right Center Back,1
203027,Walid Rhailouf,MID,Right Defensive Midfield,1
20572,Cristian Gabriel Romero,CB,Right Center Back,1
20687,Nicolás Iván González,CF,Right Center Forward,1
207378,Younes Najjari,CF,Left Center Forward,1
212929,Hassan Doughmi,UNKNOWN,,1
21573,Mohamed Rayhi,WINGER,Left Wing,1
21648,Anas Tahiri,MID,Left Defensive Midfield,1
225437,Stephane Aziz Ki,MID,Center Attacking Midfield,1
254035,Kamal Bilal,UNKNOWN,,2
261620,Nadir Lougmani,UNKNOWN,,1
26404,Guido Rodríguez,UNKNOWN,,1
27158,Luis Fernando Díaz Marulanda,CF,Left Center Forward,1
27166,Álvaro David Montero Perales,UNKNOWN,,1
27225,Camilo Andrés Vargas Gil,GK,Goalkeeper,1
27277,Jhon Adolfo Arias Andrade,MID,Left Center Midfield,1
27473,Deiver Andrés Machado Mena,UNKNOWN,,1
275058,Taha Al Achbili,UNKNOWN,,1
