player_id,player_name,team_name,role,dimension,score,unadjusted_score,percentile,confidence,confidence_value,metrics_used,missing_metric_count,quality_flags,research_only,production_ready
6909,Damián Emiliano Martínez,Argentina,GK,involvement_distribution,42.415779,89.429994,94.444444,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
27225,Camilo Andrés Vargas Gil,Colombia,GK,involvement_distribution,40.823925,86.602338,83.333333,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
36951,Babacar Niasse,Difaâ El Jadida,GK,involvement_distribution,21.631001,45.83613,66.666667,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138841,Salaheddine Chihab,Maghreb Fès,GK,involvement_distribution,27.779932,58.04731,72.222222,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138935,Rachid Ghanimi,FUS Rabat,GK,involvement_distribution,8.54771,18.133578,27.777778,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138950,Mehdi Harrar,Raja Casablanca,GK,involvement_distribution,42.885638,92.907801,100.0,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138972,Mahdi Benabid,Wydad Casablanca,GK,involvement_distribution,19.400424,42.912904,61.111111,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,involvement_distribution,6.107206,14.239934,16.666667,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,involvement_distribution,15.470588,33.124924,44.444444,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139555,Aymane Majid,CODM Meknès,GK,involvement_distribution,40.874703,86.249887,88.888889,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139572,Amine El Ouaad,Ittihad Tanger,GK,involvement_distribution,12.690269,27.949146,38.888889,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
143162,Mehdi Maftah,RSB Berkane,GK,involvement_distribution,16.896586,36.741474,50.0,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
200507,Abderrahmane Kernane,Olympic Safi,GK,involvement_distribution,0.540865,1.282051,5.555556,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
317852,Abderahmane El Houasli,UTS Rabat,GK,involvement_distribution,11.501454,24.189421,33.333333,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
362445,Badreddine Abyir,Hassania Agadir,GK,involvement_distribution,6.726666,13.817031,22.222222,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
477675,Mohamed Idar,Olympique Dcheïra,GK,involvement_distribution,5.48482,12.291836,11.111111,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
522350,Mohamed Jemjami,KAC Marrakech,GK,involvement_distribution,17.963429,37.61544,55.555556,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
523287,Ismail Sayad,US Yacoub El Mansour,GK,involvement_distribution,30.172583,64.664406,77.777778,low_research_only,0.46875,passes;successful_passes;touches,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
6909,Damián Emiliano Martínez,Argentina,GK,defensive_actions,0.0,0.0,41.666667,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
27225,Camilo Andrés Vargas Gil,Colombia,GK,defensive_actions,28.125,50.0,97.222222,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
36951,Babacar Niasse,Difaâ El Jadida,GK,defensive_actions,0.0,0.0,41.666667,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138841,Salaheddine Chihab,Maghreb Fès,GK,defensive_actions,0.0,0.0,41.666667,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138935,Rachid Ghanimi,FUS Rabat,GK,defensive_actions,0.0,0.0,41.666667,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138950,Mehdi Harrar,Raja Casablanca,GK,defensive_actions,14.0625,25.0,88.888889,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138972,Mahdi Benabid,Wydad Casablanca,GK,defensive_actions,0.0,0.0,41.666667,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,defensive_actions,0.0,0.0,41.666667,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,defensive_actions,28.125,50.0,97.222222,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139555,Aymane Majid,CODM Meknès,GK,defensive_actions,0.0,0.0,41.666667,low_research_only,0.5625,blocks;clearances,0,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
