role_family,metric,n,mean,median,std,mad,iqr,cv,p5,p10,p25,p50,p75,p90,p95,min,max,missing_pct,outlier_pct,skewness,kurtosis,heavy_tails,multimodal,mode_count,modality_method,shapiro_stat,shapiro_p,experiment_008_status
GK,average_x_defensive_action,12,3.0457016,3.08602585,0.4564982193826409,0.3847308,0.7485755000000003,0.1498827788587828,2.47699395,2.51661961,2.642155075,3.08602585,3.390730575,3.4982334,3.64434235,2.4403062,3.8118553,0.0,0.0,0.1274949254743456,-1.4246487192781538,False,True,2,histogram_peaks=2;bins=5,0.9224750103032104,0.3070839636394995,not_recalibrated_full_population_unavailable
GK,goals_faced_90,12,0.7055779158333332,0.693997985,0.2964798740860705,0.3181308650000001,0.4651854450000001,0.4201943788672986,0.278641841,0.30529543,0.54359308,0.693997985,1.008778525,1.0237903,1.06711265,0.25311908,1.1193885,0.0,0.0,-0.1758495270875922,-1.151796523413727,False,True,3,histogram_peaks=3;bins=5,0.9196902259171073,0.2833577103015949,not_recalibrated_full_population_unavailable
GK,obv_pass_90,12,0.08772157125,0.079725095,0.0322409823386913,0.00743924,0.0263497949999999,0.3675376749329644,0.05305274775,0.071875731,0.0735829125,0.079725095,0.0999327075,0.115623144,0.1368566829999999,0.030172195,0.16259137,0.0,16.666666666666664,0.8360852182306607,2.3357865974434,False,True,2,histogram_peaks=2;bins=5,0.8863837900002085,0.1058546901462337,not_recalibrated_full_population_unavailable
GK,p_pass_length,12,43.22842756907145,42.44244575500488,4.5147000699980016,2.5262222290039062,5.478322982788086,0.1044382209550486,37.26736965179443,38.28866233825684,40.48056697845459,42.44244575500488,45.95888996124268,49.67992782592773,50.030921363830565,36.24393081665039,50.3466682434082,0.0,0.0,0.3455295703332528,-0.7554352260537245,False,False,1,histogram_peaks=1;bins=5,0.9404942595875116,0.5045016751502897,not_recalibrated_full_population_unavailable
GK,pass_length,12,41.45108459453066,40.902336375095416,6.118935900532657,3.4621629482648157,6.5615947118524645,0.1476182338866962,32.30415645989631,33.08225736254894,38.76766275015096,40.902336375095416,45.32925746200342,46.85207199545712,50.12301992740271,32.056156335149865,53.973503832547166,0.0,0.0,0.3151617316282645,0.5101772911501214,False,False,1,histogram_peaks=1;bins=5,0.9614601231634252,0.8044566452285287,not_recalibrated_full_population_unavailable
CB,aerial_ratio,25,0.6583138112026456,0.6590909090909091,0.0886679275455242,0.0553173241852487,0.1070697885883155,0.1346894536262889,0.5366666666666666,0.56,0.6037735849056604,0.6590909090909091,0.7108433734939759,0.7553741496598639,0.7826900584795321,0.4146341463414634,0.8,0.0,4.0,-0.6919538506549369,0.9603072574206344,False,False,1,histogram_peaks=1;bins=5,0.9616181241067998,0.44763721224037,not_recalibrated_full_population_unavailable
CB,ball_recoveries_90,25,9.316713988,9.294089,1.444261823617274,1.200424,2.1124709999999998,0.1550183707987059,7.03032274,7.4425141,8.481923,9.294089,10.594394,10.909402,11.353626399999998,6.393078,11.997385,0.0,0.0,-0.147484082260125,-0.5572875113292097,False,False,1,histogram_peaks=1;bins=5,0.9814875301501114,0.9129120591041728,not_recalibrated_full_population_unavailable
CB,blocks_per_shot,25,0.0614114623260239,0.0601503759398496,0.019371215447939,0.0149242452865832,0.0275553900577173,0.3154332223046609,0.0340621324292534,0.0372744845360824,0.048780487804878,0.0601503759398496,0.0763358778625954,0.0859344450833812,0.09002457002457,0.02,0.091743119266055,0.0,0.0,-0.1785985367860856,-0.6663586330913294,False,True,2,histogram_peaks=2;bins=5,0.9726200497183546,0.711871215687438,not_recalibrated_full_population_unavailable
CB,clearance_90,25,4.605784372,4.42928,1.1370961476435328,0.8999645999999997,1.7924163000000002,0.2468843644865997,3.1437837,3.31442022,3.528167,4.42928,5.3205833,6.17623236,6.3595686,3.071072,7.1204104,0.0,0.0,0.4274878928270719,-0.6194163105661543,False,True,2,histogram_peaks=2;bins=5,0.946590127222558,0.2098125239284276,not_recalibrated_full_population_unavailable
CB,interceptions_90,25,1.0156374012,0.9661653,0.3425197285904398,0.2269138999999999,0.4393278999999999,0.3372460763907912,0.6280060000000001,0.66460964,0.7537513,0.9661653,1.1930792,1.3535567,1.7316408999999988,0.5377355,1.8480874,0.0,0.0,0.9670335115091484,0.7855137269087304,False,False,1,histogram_peaks=1;bins=5,0.9211419950300256,0.0543991785508596,not_recalibrated_full_population_unavailable
CB,obv_defensive_action_90,25,0.044575096984,0.038268775,0.0618459226437515,0.028191399,0.065146434,1.387454584023695,-0.0623626888999999,-0.0074305957399999,0.016709456,0.038268775,0.08185589,0.122832404,0.1429036799999999,-0.082269475,0.18302338,0.0,8.0,0.1330694816705699,0.4718012414963786,False,False,1,histogram_peaks=1;bins=5,0.9665205688098027,0.5587185064523694,not_recalibrated_full_population_unavailable
CB,obv_pass_90,25,0.0651886201,0.061495446,0.0308978291469391,0.016004004,0.033278383,0.4739758120288724,0.0110377048,0.0320036728,0.046102237,0.061495446,0.07938062,0.101336186,0.1069650219999999,0.0048522875,0.14409064,0.0,4.0,0.28382071934462,0.938717980749204,False,False,1,histogram_peaks=1;bins=5,0.96694005171843,0.568869317297888,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,25,3.200803964,2.8751497,1.5230596446223588,1.1827823,1.5998335,0.4758365903543222,1.22126996,1.38023204,2.4620485,2.8751497,4.061882,5.052232920000001,5.834279919999998,1.0209723,7.076194,0.0,4.0,0.7578370332074511,0.4078319296178123,False,True,2,histogram_peaks=2;bins=5,0.9502938516464507,0.2545760989344042,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,25,0.2643119988,0.2739575,0.0960699438864094,0.0751509599999999,0.14172542,0.3634717467333134,0.121889984,0.141999392,0.20738304,0.2739575,0.34910846,0.388032704,0.397656552,0.07551536,0.45368624,0.0,0.0,0.0181992687987071,-0.5217202303066997,False,False,1,histogram_peaks=1;bins=5,0.980189621666326,0.8888408611233425,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,23,8.90528965652174,8.771746,1.342472664299594,1.0596189999999996,1.9295665,0.1507500279136278,6.83605295,6.92929652,8.0369685,8.771746,9.966535,10.3489416,10.5473608,6.747099,11.736653,0.0,0.0,0.0441385912487179,-0.5847286360456789,False,True,2,histogram_peaks=2;bins=5,0.9653537991541556,0.5793509959419622,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,23,0.3502658378909352,0.3529411764705882,0.1923323546708334,0.130718954248366,0.242063492063492,0.5491039486720406,0.0642857142857143,0.145054945054945,0.2301587301587301,0.3529411764705882,0.4722222222222222,0.6133333333333334,0.6410714285714286,0.0,0.75,0.0,0.0,0.2485564561108967,-0.4096089412867258,False,False,1,histogram_peaks=0;bins=5,0.9852277765553764,0.9734210380209268,not_recalibrated_full_population_unavailable
FB,counterpressures_90,23,2.552266073913044,2.840565,0.730911153025501,0.4934646999999996,1.2636244999999997,0.286377333655066,1.56114651,1.61346458,1.86491795,2.840565,3.12854245,3.3190656400000003,3.54625176,1.4881566,3.8172607,0.0,0.0,-0.02768318273085,-1.4471353062868673,False,True,2,histogram_peaks=2;bins=5,0.9174261223900128,0.0586932542016164,not_recalibrated_full_population_unavailable
FB,dribble_ratio,23,0.6421343773913044,0.625,0.1652026111569784,0.125,0.2256787149999999,0.2572710899362223,0.38660716,0.444117648,0.533936685,0.625,0.7596153999999999,0.845714296,0.895714287,0.375,1.0,0.0,0.0,0.294267178290874,-0.4404791922482012,False,True,2,histogram_peaks=2;bins=5,0.9784742229379936,0.8786031926833016,not_recalibrated_full_population_unavailable
FB,key_passes_90,23,0.637994986521739,0.6477215,0.2576068600577299,0.1730889399999999,0.3460998549999999,0.4037756808437745,0.348463028,0.37310828,0.431294575,0.6477215,0.77739443,1.0141780400000002,1.1240612799999998,0.14774887,1.1493846,0.0,0.0,0.3823047179076468,-0.1495941836075518,False,False,1,histogram_peaks=0;bins=5,0.9595330274405748,0.4540009825331191,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,23,0.063361448173913,0.05865127,0.0210708987316356,0.0094219949999999,0.0196435349999999,0.3325507755725647,0.0373582442999999,0.0458505884,0.0493813575,0.05865127,0.0690248924999999,0.09020577,0.1063226159999999,0.035730947,0.1197685,0.0,8.695652173913043,1.2709421364365838,1.512847391512662,False,True,2,histogram_peaks=2;bins=5,0.8918028830496636,0.0171977623982301,not_recalibrated_full_population_unavailable
FB,obv_pass_90,23,0.1058738350434782,0.114041984,0.0545825013594084,0.040144294,0.07435967,0.5155428755083213,0.0467730256,0.0526449112,0.06386017,0.114041984,0.13821984,0.176140224,0.1902492579999999,-0.026682692,0.20334692,0.0,0.0,-0.2396672342697093,0.1998243317523012,False,False,1,histogram_peaks=1;bins=5,0.9729287845863308,0.7586364031672836,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,23,7.240599569565218,6.574614,2.4277199926951485,2.291392,3.579017000000001,0.3352926742282101,3.81462333,4.39955364,5.42641,6.574614,9.005427000000001,10.1589254,11.086278299999998,3.2455094,11.884301,0.0,0.0,0.2360152382763446,-0.9570046631327052,False,True,2,histogram_peaks=2;bins=5,0.9591160825319266,0.4457512109031242,not_recalibrated_full_population_unavailable
MID,ball_recoveries_90,34,9.896941014705884,9.9109205,2.2284016352678155,1.640244,3.21358925,0.2251606463003699,6.830330635,7.5479058,8.1785965,9.9109205,11.39218575,12.4143068,13.52148285,5.447609,15.787806,0.0,0.0,0.3501464094792635,0.3704063512319413,False,False,1,histogram_peaks=1;bins=5,0.9829856377505212,0.8610484249562325,not_recalibrated_full_population_unavailable
MID,counterpressures_90,34,4.129455,3.99894095,0.975967935345343,0.5929528,1.2563855750000004,0.23634303687662,2.642923665,2.97483096,3.535717375,3.99894095,4.79210295,5.34253736,5.752586325,1.9134321,6.3163066,0.0,0.0,0.0890667493188168,0.0473820317662849,False,False,1,histogram_peaks=1;bins=5,0.992399864573061,0.9971478375247096,not_recalibrated_full_population_unavailable
MID,key_passes_90,34,0.7054953823529411,0.524641685,0.4494542952808016,0.2355201049999999,0.549226815,0.6370761687791618,0.2666789029999999,0.285702892,0.410168255,0.524641685,0.95939507,1.1129955299999998,1.5101732649999986,0.23462702,2.1077507,0.0,5.88235294117647,1.5618808609612815,2.74093599373184,False,True,2,histogram_peaks=2;bins=5,0.8349985495429818,0.0001316321226154,not_recalibrated_full_population_unavailable
MID,obv_dribble_carry_90,34,0.058029826,0.0511216929999999,0.0285536108190339,0.017849655,0.03505101,0.492050602030652,0.02144440195,0.0318528569,0.0392283762499999,0.0511216929999999,0.07427938625,0.0904667788,0.1040344433999999,0.013796075,0.14800431,0.0,2.941176470588235,1.101356554127606,1.6756146014458282,False,False,1,histogram_peaks=1;bins=5,0.9288044207594944,0.0288765940632045,not_recalibrated_full_population_unavailable
MID,obv_pass_90,34,0.0260498055558823,0.0120454815,0.0403978906034556,0.0207499469999999,0.0394823968249999,1.5507943242337698,-0.022587361,-0.0145665971999999,0.000943867675,0.0120454815,0.0404262644999999,0.083286348,0.0928298234,-0.036128487,0.13942343,0.0,2.941176470588235,0.9091520040026304,0.5215866151621937,False,True,2,histogram_peaks=2;bins=5,0.9292403758154804,0.0297305840902979,not_recalibrated_full_population_unavailable
MID,op_f3_passes_90,34,7.826375352941177,6.7818443,3.339773540372992,2.4274817000000004,4.5387739,0.4267331158756516,3.776261455,4.02366572,5.3557386,6.7818443,9.8945125,12.3575413,13.363718549999996,3.447976,15.632268,0.0,0.0,0.6676610689936412,-0.5302095279660621,False,True,2,histogram_peaks=2;bins=5,0.9282331004426764,0.0277959464446907,not_recalibrated_full_population_unavailable
MID,op_passes_90,34,39.6914840882353,39.134501,8.919605459951436,6.389415499999998,12.032950499999998,0.22472340515469,27.27763405,28.213224200000003,33.616600250000005,39.134501,45.64955075,49.8501472,53.49304454999999,23.311102,59.090416,0.0,0.0,0.2540368957794288,-0.4933548300051122,False,False,1,histogram_peaks=1;bins=5,0.9753618671056016,0.6230735763428883,not_recalibrated_full_population_unavailable
MID,through_balls_90,34,0.0931561647058823,0.073670486,0.1047338693128179,0.073670486,0.16145911,1.1242827529824713,0.0,0.0,0.0,0.073670486,0.16145911,0.2022433179999999,0.2596585484999997,0.0,0.39876363,0.0,0.0,1.1671073670019347,1.2850422404067658,False,True,2,histogram_peaks=2;bins=5,0.8290775114252993,9.8644407213056e-05,not_recalibrated_full_population_unavailable
WINGER,crossing_ratio,25,0.2871982554306072,0.2682926829268293,0.1128468284616823,0.0682926829268292,0.1529411764705882,0.3929230986883498,0.1564102564102564,0.1699999999999999,0.2,0.2682926829268293,0.3529411764705882,0.4396396396396396,0.4678362573099414,0.1428571428571428,0.5833333333333334,0.0,4.0,0.932752294824084,0.4044586271371591,False,True,2,histogram_peaks=2;bins=5,0.9227199254689588,0.0591088967987875,not_recalibrated_full_population_unavailable
WINGER,dribble_ratio,25,0.5091835744000001,0.5,0.1498970551152512,0.0909090599999999,0.17914436,0.2943870593074089,0.33181816,0.363191496,0.4117647,0.5,0.59090906,0.6731182960000001,0.7754838719999997,0.14285715,0.8333333,0.0,4.0,0.0557680061081977,0.8962896372048297,False,False,1,histogram_peaks=1;bins=5,0.9703789758780854,0.654696731902557,not_recalibrated_full_population_unavailable
WINGER,key_passes_90,25,1.1765433652,1.1769975,0.5162848511866838,0.4047867999999999,0.7034098,0.4388149782298256,0.599994834,0.657987286,0.7692953,1.1769975,1.4727051,1.68624726,1.8506624999999997,0.46777096,2.8671114,0.0,4.0,1.4597282074147089,3.5332765171482583,True,False,1,histogram_peaks=1;bins=5,0.8937798233593256,0.0134651535541973,not_recalibrated_full_population_unavailable
WINGER,np_shots_90,25,1.6664799380000002,1.7421637,0.5545438631217138,0.3689999000000001,0.7058182,0.3327635997750089,0.7676107900000001,0.88627765,1.3731638,1.7421637,2.078982,2.32872228,2.4501588,0.5945173,2.489876,0.0,0.0,-0.3502789966129284,-0.8386486909178186,False,True,2,histogram_peaks=2;bins=5,0.9582804199890316,0.3812906692555169,not_recalibrated_full_population_unavailable
WINGER,np_xg_90,25,0.1487697444,0.12741931,0.0755258547496183,0.04790781,0.1038036899999999,0.507669452913427,0.0634117439999999,0.069003932,0.08856239,0.12741931,0.19236608,0.26810208,0.275063448,0.05327166,0.30520162,0.0,0.0,0.6907153850122693,-0.700845224915883,False,True,2,histogram_peaks=2;bins=5,0.9128173536458616,0.0352433221195052,not_recalibrated_full_population_unavailable
WINGER,obv_dribble_carry_90,25,0.10094461996,0.093498245,0.0472299832032781,0.027086755,0.04837502,0.4678801428148754,0.03167475,0.03849479,0.07683531,0.093498245,0.12521033,0.154099578,0.1654330259999999,0.025065586,0.2305304,0.0,4.0,0.649697371280837,1.0089092987410622,False,False,1,histogram_peaks=0;bins=5,0.961143976495389,0.4377280776396455,not_recalibrated_full_population_unavailable
WINGER,obv_pass_90,25,0.044546198512,0.036222473,0.0598275630790365,0.031796686,0.06885003,1.343045312001651,-0.0460793955999999,-0.0255521131999999,0.01298321,0.036222473,0.08183324,0.117582358,0.1483123179999999,-0.059557587,0.18814635,0.0,4.0,0.5145265051378662,0.3212184609069437,False,False,1,histogram_peaks=1;bins=5,0.9728361336858952,0.7173735684027983,not_recalibrated_full_population_unavailable
CF,aerial_ratio,22,0.4031596651479257,0.4240384615384615,0.1243092342865903,0.0870795605420858,0.2140430666912742,0.3083374777607757,0.2047665028089887,0.2369497144962239,0.2875660300690776,0.4240384615384615,0.5016090967603518,0.5221212121212121,0.5314555125725339,0.1935483870967742,0.6585365853658537,0.0,0.0,-0.1716472083027714,-0.5634299536019238,False,False,1,histogram_peaks=1;bins=5,0.9407134176140526,0.2047468885889652,not_recalibrated_full_population_unavailable
CF,aerial_wins_90,22,2.181091002727273,2.0668786,1.1275089194182075,0.7501909,1.4818531250000002,0.5169472149526779,0.821917382,0.93619061,1.45050635,2.0668786,2.932359475,3.3329190000000004,4.229384169999999,0.6638664,5.0781317,0.0,0.0,0.9516142363206784,0.7652618358836509,False,True,2,histogram_peaks=2;bins=5,0.9279346640959144,0.1111240339268095,not_recalibrated_full_population_unavailable
CF,goals_90,22,0.30823404,0.261288315,0.2031652088202458,0.1396673249999999,0.2607939075,0.6591264508626168,0.005293287,0.107305622,0.165937125,0.261288315,0.4267310325,0.6476983060000003,0.6703934415,0.0,0.71114033,0.0,0.0,0.5387353337053513,-0.3203090458616056,False,False,1,histogram_peaks=1;bins=5,0.9477268093383708,0.284508962215346,not_recalibrated_full_population_unavailable
CF,np_shots_90,22,1.8206182700000004,1.83254175,0.6554121285014161,0.34420655,0.5862840499999997,0.3599942609064425,0.9701593,1.12712757,1.452434975,1.83254175,2.038719025,2.7799612400000013,2.874995135,0.39002684,3.2890244,0.0,9.090909090909092,0.2089488894314541,0.7499126835969445,False,True,2,histogram_peaks=2;bins=5,0.965159748497566,0.5999280328485606,not_recalibrated_full_population_unavailable
CF,np_xg_90,22,0.2585718087727273,0.287141535,0.1189420942190008,0.08326911,0.1508954675,0.4599963730908712,0.0994557455,0.114451612,0.1647860625,0.287141535,0.31568153,0.402915342,0.4568722875,0.015730003,0.47152212,0.0,0.0,-0.1318665703494185,-0.417870359313182,False,False,1,histogram_peaks=1;bins=5,0.965707719884929,0.6122952206934796,not_recalibrated_full_population_unavailable
CF,op_passes_into_and_touches_inside_box_90,22,5.393018554545455,5.52347975,1.715184085409568,0.7467195999999996,1.2716047250000004,0.3180378609978898,3.221474155,4.01016031,4.591843275,5.52347975,5.863448,6.875177480000001,7.480060229999999,1.0140698,10.125904,0.0,9.090909090909092,0.2084018520637408,3.3196207730830816,True,False,1,histogram_peaks=1;bins=5,0.9233414925080672,0.0891740613471411,not_recalibrated_full_population_unavailable
CF,op_xgchain_90,22,0.4637269945454546,0.44323855,0.1554519904715136,0.1040605499999999,0.1844474025,0.3352230780178922,0.2254187805,0.300062497,0.3779968725,0.44323855,0.562444275,0.6111428600000001,0.638380935,0.16556081,0.8633985,0.0,4.545454545454546,0.3788310024157718,0.9368518968219696,False,False,1,histogram_peaks=1;bins=5,0.975345994723855,0.8300616533447802,not_recalibrated_full_population_unavailable
