player_id,player_name,team_name,role,competition_id,season_id,minutes,metric,source_column,raw_value,per90_value,role_percentile,role_z_score,min_max_0_100,direction_aware_value,confidence_adjusted_value,confidence_weight,derivation_status,quality_warning,research_only,production_ready
138972,Mahdi Benabid,Wydad Casablanca,GK,1229,318,90.0,passes,passes_attempted_per90,29.000000000000004,29.000000000000004,38.888889,-0.484375,27.659574,27.659574,15.55851,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138972,Mahdi Benabid,Wydad Casablanca,GK,1229,318,90.0,shots,shots_per90,0.0,0.0,50.0,,50.0,50.0,28.125,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138972,Mahdi Benabid,Wydad Casablanca,GK,1229,318,90.0,successful_passes,passes_completed_per90,26.0,26.0,69.444444,0.332101,50.0,50.0,21.09375,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
138972,Mahdi Benabid,Wydad Casablanca,GK,1229,318,90.0,touches,touches_per90,89.0,89.0,58.333333,0.121965,51.079137,51.079137,21.549011,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
138972,Mahdi Benabid,Wydad Casablanca,GK,1229,318,90.0,xg,xg_per90,0.0,0.0,50.0,,50.0,50.0,28.125,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,1229,318,90.0,blocks,blocks_per90,0.0,0.0,47.222222,-0.242536,0.0,0.0,0.0,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,1229,318,90.0,clearances,clearances_per90,0.0,0.0,41.666667,-0.385922,0.0,0.0,0.0,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,1229,318,90.0,passes,passes_attempted_per90,23.0,23.0,8.333333,-1.289084,2.12766,2.12766,1.196809,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,1229,318,90.0,shots,shots_per90,0.0,0.0,50.0,,50.0,50.0,28.125,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,1229,318,90.0,successful_passes,passes_completed_per90,20.0,20.0,33.333333,-0.465405,26.923077,26.923077,11.358173,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
