role,score_family,requested_metric_alias,status,eligible_players,coverage_rate,split_half_reliability,reason,production_status,experiment_008_status
GK,shot_stopping,save_ratio,candidate_blocked,12,1.0,-0.2529455527290811,highly_correlated_ge_0_90;split_half_reliability_lt_0_60,research_only,blocked_full_population_unavailable
GK,shot_stopping,np_psxg_faced_90,candidate_blocked,12,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
GK,shot_stopping,goals_faced_90,candidate_ready,12,1.0,,,research_only,blocked_full_population_unavailable
GK,shot_stopping,obv_gk_90,candidate_blocked,12,1.0,,highly_correlated_ge_0_90;high_coefficient_of_variation,research_only,blocked_full_population_unavailable
GK,shot_stopping,ot_shots_faced_ratio,candidate_blocked,12,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
GK,aerial_command,claim_success,missing_from_provider_stats,0,,,metric_alias_not_found_in_player_season_stats,research_only,blocked_full_population_unavailable
GK,aerial_command,aerial_ratio,candidate_blocked,12,0.0,,coverage_lt_40pct;near_zero_variance,research_only,blocked_full_population_unavailable
GK,aerial_command,aerial_wins_90,candidate_blocked,12,1.0,,near_zero_variance,research_only,blocked_full_population_unavailable
GK,aerial_command,crossing_ratio,candidate_blocked,12,0.0,,coverage_lt_40pct;near_zero_variance,research_only,blocked_full_population_unavailable
GK,distribution,passing_ratio,candidate_blocked,12,1.0,0.564688486511968,split_half_reliability_lt_0_60,research_only,blocked_full_population_unavailable
GK,distribution,obv_pass_90,candidate_ready,12,1.0,,,research_only,blocked_full_population_unavailable
GK,distribution,pass_length,candidate_ready,12,1.0,,,research_only,blocked_full_population_unavailable
GK,distribution,p_pass_length,candidate_ready,12,1.0,,,research_only,blocked_full_population_unavailable
GK,sweeping,average_x_defensive_action,candidate_ready,12,1.0,,,research_only,blocked_full_population_unavailable
CB,defensive_contribution,interceptions_90,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
CB,defensive_contribution,ball_recoveries_90,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
CB,defensive_contribution,aerial_ratio,candidate_ready,26,1.0,0.7347045623335495,,research_only,blocked_full_population_unavailable
CB,defensive_contribution,clearance_90,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
CB,defensive_contribution,blocks_per_shot,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
CB,defensive_contribution,obv_defensive_action_90,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
CB,ball_progression,op_f3_passes_90,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
CB,ball_progression,lbp_pass_ratio,missing_from_provider_stats,0,,,metric_alias_not_found_in_player_season_stats,research_only,blocked_full_population_unavailable
CB,ball_progression,obv_pass_90,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
CB,ball_progression,xgbuildup_90,candidate_blocked,26,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
CB,ball_progression,op_xgbuildup_90,candidate_ready,26,1.0,,,research_only,blocked_full_population_unavailable
FB,ball_progression,obv_dribble_carry_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
FB,ball_progression,op_f3_passes_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
FB,ball_progression,lbp_pass_ratio,missing_from_provider_stats,0,,,metric_alias_not_found_in_player_season_stats,research_only,blocked_full_population_unavailable
FB,ball_progression,obv_pass_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
FB,wide_creation,crossing_ratio,candidate_blocked,23,1.0,0.0,split_half_reliability_lt_0_60,research_only,blocked_full_population_unavailable
FB,wide_creation,box_cross_ratio,candidate_ready,23,1.0,0.9999999999999998,,research_only,blocked_full_population_unavailable
FB,wide_creation,dribble_ratio,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
FB,wide_creation,key_passes_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
FB,wide_creation,xa_90,candidate_blocked,23,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
FB,defensive_work,ball_recoveries_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
FB,defensive_work,pressures_90,candidate_blocked,23,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
FB,defensive_work,counterpressures_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
MID,possession_and_progression,op_passes_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
MID,possession_and_progression,passing_ratio,candidate_blocked,35,1.0,0.3425142156707983,split_half_reliability_lt_0_60,research_only,blocked_full_population_unavailable
MID,possession_and_progression,op_f3_passes_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
MID,possession_and_progression,obv_dribble_carry_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
MID,possession_and_progression,obv_pass_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
MID,possession_and_progression,xgbuildup_90,candidate_blocked,35,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
MID,defensive_work,ball_recoveries_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
MID,defensive_work,pressures_90,candidate_blocked,35,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
MID,defensive_work,counterpressures_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
MID,creation,key_passes_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
MID,creation,xa_90,candidate_blocked,35,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
MID,creation,through_balls_90,candidate_ready,35,1.0,,,research_only,blocked_full_population_unavailable
WINGER,chance_creation,obv_dribble_carry_90,candidate_ready,25,1.0,,,research_only,blocked_full_population_unavailable
WINGER,chance_creation,dribble_ratio,candidate_ready,25,1.0,,,research_only,blocked_full_population_unavailable
WINGER,chance_creation,crossing_ratio,candidate_ready,25,1.0,0.6546536707079771,,research_only,blocked_full_population_unavailable
WINGER,chance_creation,key_passes_90,candidate_ready,25,1.0,,,research_only,blocked_full_population_unavailable
WINGER,chance_creation,xa_90,candidate_blocked,25,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
WINGER,chance_creation,touches_inside_box_90,candidate_blocked,25,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
WINGER,chance_creation,obv_pass_90,candidate_ready,25,1.0,,,research_only,blocked_full_population_unavailable
WINGER,goal_threat,np_xg_90,candidate_ready,25,1.0,,,research_only,blocked_full_population_unavailable
WINGER,goal_threat,np_shots_90,candidate_ready,25,1.0,,,research_only,blocked_full_population_unavailable
WINGER,goal_threat,shot_on_target_ratio,candidate_blocked,25,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
WINGER,goal_threat,obv_shot_90,candidate_blocked,25,1.0,,highly_correlated_ge_0_90;high_coefficient_of_variation,research_only,blocked_full_population_unavailable
CF,finishing,np_xg_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
CF,finishing,goals_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
CF,finishing,np_shots_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
CF,finishing,shot_on_target_ratio,candidate_blocked,23,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
CF,finishing,np_xg_per_shot,candidate_blocked,23,1.0,-0.8913945076031867,split_half_reliability_lt_0_60,research_only,blocked_full_population_unavailable
CF,finishing,obv_shot_90,candidate_blocked,23,1.0,,highly_correlated_ge_0_90;high_coefficient_of_variation,research_only,blocked_full_population_unavailable
CF,box_presence,touches_inside_box_90,candidate_blocked,23,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
CF,box_presence,aerial_ratio,candidate_ready,23,1.0,0.817499032601671,,research_only,blocked_full_population_unavailable
CF,box_presence,aerial_wins_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
CF,link_play,op_xgchain_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
CF,link_play,xgbuildup_90,candidate_blocked,23,1.0,,highly_correlated_ge_0_90,research_only,blocked_full_population_unavailable
CF,link_play,op_passes_into_and_touches_inside_box_90,candidate_ready,23,1.0,,,research_only,blocked_full_population_unavailable
