component,explained_variance_ratio,cumulative_variance
PC1,0.5759453489597314,0.5759453489597314
PC2,0.3439219182825518,0.9198672672422832
PC3,0.016247255753153826,0.936114522995437
PC4,0.012355587881430326,0.9484701108768673
PC5,0.010323044813073065,0.9587931556899404
PC6,0.007354648942682609,0.966147804632623
PC7,0.0035768498820235163,0.9697246545146465
PC8,0.002552532943882573,0.9722771874585291
PC9,0.0020815754884938474,0.974358762947023
PC10,0.0019474961360114614,0.9763062590830344
